gene	Mock.Col0.rna	ABA.Col0.rna	Mock.g7g8.rna	ABA.g7g8.rna	Mock_Col0.ribo	ABA_Col0.ribo	Mock_g7g8.ribo	ABA_g7g8.ribo
AT1G27390	22.83027167	13.88905172	17.10052669	11.98295334	36.97762969	29.19464798	31.23864881	23.79750966
AT1G18330	8.396344458	9.523172949	8.340019095	5.998966863	0.840454418	0.280587974	1.110716615	0.968453885
AT1G72700	8.87230356	13.07115185	7.807199039	13.7455489	4.919193718	8.942522523	3.913545094	10.44935997
AT1G79000	17.38987574	15.60323605	14.72993318	16.83125317	7.512663934	8.036487302	8.258116396	6.001494891
AT1G24485	0	0	0	0	0	0.130232338	0.078112976	0
AT1G11730	0.702233907	0.751485828	0.430754298	0.474906854	0.156217655	0.392812498	0.194737004	0.406465518
AT1G73480	5.429692744	31.32751625	6.684463004	33.42647192	4.222735632	26.57758995	4.983875704	24.18943652
AT1G10480	1.260866277	3.498407003	0.86454583	2.649655849	0.800434904	1.971782712	0.670732298	1.321691221
AT1G74530	3.883759924	5.283102411	4.391858797	4.047189587	2.694950107	2.584551756	2.311295286	3.079118371
AT1G07645	0.061484768	0.943340696	0.294254207	1.87929491	0.14752688	2.014553153	0.537662467	2.517876104
AT1G75920	0.133221002	0.219755956	0.018325832	0.082389659	0.046021306	0	0	0
AT1G29990	15.4970339	9.456890457	11.36474121	9.400832316	23.703522	18.27304588	17.16744753	22.71365616
AT1G79560	38.87659455	24.82700145	33.27097883	22.20331942	20.22198826	11.95642188	15.46928444	11.61120731
AT1G70670	9.764868722	8.611557153	8.387977378	8.915582009	6.807367125	8.580264084	6.264317953	7.492693098
AT1G04530	33.73353186	25.49515878	34.30415821	23.26312914	38.29254027	25.82864519	48.27221434	27.32078325
